5, 0, 494, 0x1
5, 1, 340, 0x1
1, 1, 819, 0x1
1, 0, 8, 0x1
1, 1, 731, 0x1
9, 1, 252, 0x1
5, 1, 86, 0x1
5, 0, 790, 0x1
5, 0, 19, 0x1
5, 1, 765, 0x1
5, 0, 926, 0x1
9, 0, 958, 0x1
9, 0, 129, 0x1
5, 1, 422, 0x1
5, 0, 928, 0x1
0, 0, 151, 0x1
0, 1, 260, 0x1
0, 0, 664, 0x1
0, 0, 225, 0x1
0, 1, 52, 0x1
0, 0, 383, 0x1
0, 0, 163, 0x1
1, 0, 664, 0x1
1, 0, 928, 0x1
5, 1, 765, 0x1
1, 1, 264, 0x1
1, 0, 343, 0x1
5, 0, 151, 0x1
5, 0, 328, 0x1
5, 0, 349, 0x1
9, 0, 356, 0x1
9, 0, 581, 0x1
0, 1, 647, 0x1
0, 1, 950, 0x1
5, 1, 248, 0x1
5, 1, 16, 0x1
5, 1, 380, 0x1
1, 0, 988, 0x1
9, 0, 694, 0x1
5, 0, 526, 0x1
5, 0, 364, 0x1
5, 0, 356, 0x1
9, 0, 163, 0x1
5, 1, 340, 0x1
